Error_Code;Error_Start_Time;Error_End_Time;message;Duration;device
260;2024-04-02 12:35:56.62;2024-04-02 14:40:19.68;HMI Manual local reset required;7463.0600001812;E9
311;2024-04-02 12:35:56.66;2024-04-02 14:40:19.68;LPR Gen;7463.01999998093;E9
52;2024-04-02 12:35:56.66;2024-04-02 12:35:56.94;SIS EmStop Nacelle Activated;0.279999971389771;E9
407;2024-04-02 12:35:56.66;2024-04-02 14:40:19.68;Yaw ALU Pmp Fault;7463.01999998093;E9
314;2024-04-02 12:35:56.66;2024-04-02 14:40:19.68;LPR Gen Rot;7463.01999998093;E9
5182;2024-04-02 12:35:56.66;2024-04-02 14:40:13.4;MET SIS TempInput invalid OpC PreAlarm;7456.74000000954;E9
5076;2024-04-02 12:35:56.66;2024-04-02 12:35:56.94;YAW SIS Outputs Passivated;0.279999971389771;E9
5171;2024-04-02 12:35:56.66;2024-04-02 12:35:56.94;ROTB SIS SVOutput Passivated;0.279999971389771;E9
5104;2024-04-02 12:35:56.66;2024-04-02 14:39:57;SIS IO-Module IN TB Passivated;7440.33999991417;E9
5124;2024-04-02 12:35:56.66;2024-04-02 14:40:13.36;HMI SIS Signal Output Passivated;7456.69999980927;E9
5023;2024-04-02 12:35:56.66;2024-04-02 14:40:13.6;SIS PLC SafeAISystem Failure;7456.9399998188;E9
5177;2024-04-02 12:35:56.66;2024-04-02 14:40:13.4;VIB SIS VibSenInput Passivated OpC PreAlarm;7456.74000000954;E9
5075;2024-04-02 12:35:56.66;2024-04-02 14:40:13.44;YAW SIS Inputs Passivated;7456.77999997139;E9
5125;2024-04-02 12:35:56.66;2024-04-02 12:35:56.94;HMI SIS EmStopInput Passivated;0.279999971389771;E9
5126;2024-04-02 12:35:56.66;2024-04-02 14:40:19.68;HMI SIS YawStopSwitchInput Passivated;7463.01999998093;E9
5127;2024-04-02 12:35:56.66;2024-04-02 12:35:56.94;HMI SIS ROTB SwitchInput Passivated;0.279999971389771;E9
5128;2024-04-02 12:35:56.66;2024-04-02 14:40:13.4;HMI SIS MCV MC Breaker Switch ON Passivated;7456.74000000954;E9
5129;2024-04-02 12:35:56.66;2024-04-02 14:40:13.4;HMI SIS ROTB OpenSwInput Passivated;7456.74000000954;E9
5130;2024-04-02 12:35:56.66;2024-04-02 14:40:13.44;HMI SIS Reset Button Input Passivated;7456.77999997139;E9
