Code,Description,Reset Level,Dead Level,Availability,Reset Mode,Brake Program,Yaw Program,StatCom
FM0,WTG System ok — Is indicated when the turbine has NO fault.,0,600,no,A,0,0,yes
FM1,PLC Flash CardReading — Controller is restarted. The WTG parameters are initialized,0,600,no,A,1,0,no
FM2,PLC Flash Card Reading Error — Controller is restarted. A fault has occurred during initialization of the parameters.,0,600,yes,A,1,0,no
FM3,HMI WTG Stop For Grid Disconnection — Is indicated if the turbine is stopped for a planned grid disconnection. This type of disconnection enables idling during the grid disconnection. Brake Prog.: 1,0,600,yes,A,,30,no
FM5,HMI WTG ManualControl — Is indicated when the turbine is in manual control mode.,0,600,no,A,0,0,no
FM6,HMI WTG Manual Stop — Is indicated if the WTG is stopped with an access level >= 270 or if the WTG is stopped via the stop button on the bottom cabinet Brake Prog.: 1,270,600,yes,M,,0,no
FM7,HMI WTG Customer Stop — Is indicated if the WTG is stopped via the visualization with access level <270.,99,600,no,M,1,30,no
FM8,WTG AutoRestart after GridError — Is indicated when the automatic restart is active following a grid fault.,0,600,no,A,0,0,no
FM9,WTG AutoRestart aborted — Is generated if the automatic restart following a grid error or vector shift is not completed successfully.,0,600,no,A,0,0,no
FM10,PLC MemoryReset — Is indicated when the turbine controller is started with the manufacturer parameter settings (e.g. after a software update or replacement of the turbine controller). Brake Prog.: 4,270,600,yes,M,,50,no
FM11,PLC Reboot active — Is indicated when the turbine controller executes a restart (e.g. after grid outages),0,600,yes,A,4,50,no
FM12,"Stat WTG FMC-Time After GridFault — Is indicated for a restricted period following a grid error in order to also count the time following a grid error as FMC time. (FMC = Force Majeure Correction, correction when unavailable due to external Brake Prog.: 0 influences) Yaw Prog.: 0",0,300,no,A,,,yes
FM22,PLC Flash Card Bladedata missing — The alarm is generated when there is not a blade data file for the wind estimator on the PLC flash card. Brake Prog.: 5,0,600,yes,A,,0,yes
FM23,PLC Flash Card Bladedata invalid — The alarm is generated when the data file required for the wind estimator on the PLC flash card is invalid. Brake Prog.: 5,0,600,yes,A,,0,yes
FM40,PLC TaskCycleTimeViolation — Cycle time exceeded.,270,600,yes,M,1,0,no
FM51,"SIS EmStop BotBox Activated — Safety chain triggered via emergency off switch on bottom-box control cabinet (power cabinet or communication cabinet for offshore turbines), in connection with FM50. Brake Prog.: 4",270,400,yes,SL,,50,no
FM52,"SIS EmStop Nacelle Activated — Activation of the safety chain by actuating the emergency stop switch in the nacelle, in combination with FM50. Brake Prog.: 4",270,400,yes,SL,,50,no
FM54,"MCV EmStop Activated — Signals, in combination with FM50, activation of the safety chain via the main converter.",270,400,yes,SL,4,50,no
FM57,Vib Y-direction eff. Stop — Is indicated when turbine is stopped due to lateral vibration values being too high.,270,600,yes,M(A),1,0,yes
FM58,Vib Z-direction eff. Stop — Is indicated when turbine is stopped due to main shaft direction vibration values being too high.,270,600,yes,M(A),1,50,yes
FM59,Vib Y-direction filtered Stop — Is indicated when the turbine is stopped due to vibration values in the tower's natural frequency range being too high in the lateral direction. Brake Prog.: 1,270,600,yes,M(A),,0,yes
FM60,Vib Z-direction filtered Stop — Is indicated when the turbine is stopped due to vibration values in the tower's natural frequency range being too high in the main shaft direction. Brake Prog.: 1,270,600,yes,M(A),,50,yes
FM61,Vib Y-direction filtered Warn — Is indicated when high vibration values occur in the lateral direction in the tower's natural frequency range. Brake Prog.: 0,270,300,no,M(A),,0,yes
FM62,Vib Z-direction filtered Warn — Is indicated when high vibration values occur in the main shaft direction in the tower's natural frequency range. Brake Prog.: 0,270,300,no,M(A),,0,yes
FM63,Vib Restartdelay After Vibration — Is indicated when vibrations occur following a quick-stop or storm cut-out. Starting of the WTG will be delayed until this indication is canceled. Brake Prog.: 0,0,600,no,A,,0,yes
FM64,Vib NacelleAccFilt 2nd tower eigenfreq H Warn — Warning that the tower vibrates with its 2nd natural frequency.,270,400,no,M,0,0,yes
FM65,Vib NacelleAccFilt 2nd tower eigenfreq H Stop — The tower vibrates with its 2nd natural frequency and the WTG is stopped.,270,400,yes,M,1,0,yes
FM96,SIS Met WindSpeed WTG Op Active — The alarm is generated if an anemometer fails. Continued operation with a permanently faulty anemometer is possible for max. 28 days. Brake Prog.: 0,0,600,no,A,,0,yes
FM97,SIS Remote Safety-Reset Required — A safety alarm has occurred. Remote reset is possible.,0,600,no,SR,0,0,yes
FM98,SIS Local Safety-Reset Required — A safety alarm has to be acknowledged on site.,0,600,no,SL,0,0,yes
FM99,SIS ManStartReqAfterSISAlarm — The alarm is generated when a resettable stop alarm is triggered by the safety system (SIS). A manual restart is required. Brake Prog.: 1,270,600,yes,M,,0,no
FM100,"SIS Sen Pepperl+Fuchs Collective Failure — If this error is active, the sensors of the overspeed/tower damper acceleration detection system/temperature limit switch are faulty or one of the detectors is faulty. Brake Prog.: 1",270,600,yes,M,,0,yes
FM104,Gen RPM (OpCtrl) H Stop — FM104 is an overspeed detection system sensor stage 1 fault. It is generated directly in the operation control. Brake Prog.: 2,270,600,yes,M(A),,0,yes
FM105,Rot RPM (OpCtrl) H Stop — FM105 is an overspeed detection system sensor stage 1 fault. It is generated directly in the operation control. Brake Prog.: 2,270,600,yes,M(A),,0,yes
FM106,"DTR Gen RPM H StopFastIdling1 — The generator speed is too high in status ""Fast idling stage 1"" .",270,330,yes,M,1,0,yes
FM109,DTR Gen MCV RPM Diff H Stop — The alarm is generated if the speed difference between the generator speed from the speed monitor and the generator speed from the main converter exceeds a parametrable limit value. Brake Prog.: 2,270,600,yes,M,,0,yes
FM110,DTR GenRot RPM Diff (OpCtrl) H Stop — FM110 is an overspeed detection system sensor stage 1 fault. It is generated directly in the operation control. Brake Prog.: 2,270,600,yes,M,,0,yes
FM111,DTR Gen Rpm MCV Unplaus Warning — The alarm is generated when the main converter speed monitoring measurement appears implausible for the 10 min mean (deviation from the other two speed measurements). Brake Prog.: 0,0,300,no,A,,0,yes
FM112,DTR Gen Rpm Monitor Unplaus Warning — The alarm is generated when the generator speed monitoring measurement appears implausible for the 10 min mean (deviation from the other two speed measurements). Brake Prog.: 0,0,300,no,A,,0,yes
FM113,DTR Rot Rpm Monitor Unplaus Warning — The alarm is generated when the rotor speed monitoring measurement appears implausible for the 10 min mean (deviation from the other two speed measurements). Brake Prog.: 0,0,300,no,A,,0,yes
FM114,"DTR Gen Rpm MCV Unplaus Failure — The alarm is generated when a brief, distinct deviation of the generator speed is detected.",270,330,yes,M,1,0,yes
FM120,Gen CWPress L Stop — Is indicated when the pressure in the generator coolant circuit is too low.,270,330,yes,M,5,0,yes
FM121,Gen CWPmp FuseTrip — Is indicated when the generator coolant pump fuse triggers.,270,300,yes,M,5,0,yes
FM124,GBX OilFilt Alarm(replace Fi) — Is indicated when the gearbox oil filter is to be replaced.,270,330,no,M,0,0,yes
FM150,GBX BearTemp 1(Gen) H Warn Lim — The alarm is triggered when the specific generator side temperature threshold P81.00 is exceeded and the turbine is operated with power limiting. Brake Prog.: 0,0,300,no,A,,0,yes
FM151,GBX BearTemp 2(Rot) H Warn Lim — The alarm is triggered when the specific temperature P81.02 for the rotor side gear bearing temperature threshold is exceeded and the turbine is operated with power limiting. Brake Prog.: 0,0,300,no,A,,0,yes
FM152,GBX OilTemp Sump H Warn Lim — The alarm is triggered when the specific temperature P81.04 for the gearbox oil temperature threshold is exceeded and the turbine is operated with power limiting. Brake Prog.: 0,0,300,no,A,,0,yes
FM161,GBX OilPmp Stage1 FuseTrip — Is indicated when the gearbox oil pump stage 1 fuse triggers.,270,330,yes,M,5,0,yes
FM162,GBX OilPmp Stage2 FuseTrip — Is indicated when the gearbox oil pump stage 2 fuse triggers.,270,330,yes,M,5,0,yes
FM164,GBX PostCoolingTimeout — Is indicated if after-cooling of the gearbox oil or gearbox bearing is not completed within a defined period when the turbine is at standstill. Brake Prog.: 0,270,300,no,M,,0,yes
FM165,GBX OilLevel 1 L Stop — Is indicated when the gearbox oil level sensor triggers (false alarm possible during the preheating period when the oil is very cold). Brake Prog.: 5,270,330,yes,M,,0,yes
FM166,GBX OilPress H Stop — Is indicated when the gearbox oil pressure exceeds the permissible value. Can be caused by blocked or frozen oil cooler. Brake Prog.: 5,0,330,yes,M,,0,yes
FM167,GBX OilPress high multiple — Alarm no longer utilized.,270,330,yes,M,5,0,yes
FM168,GBX OilFilt Warn(75% clogged) — Is indicated if the gearbox oil filter needs to be replaced soon.,270,300,no,M,0,0,yes
FM171,GBX OilPress GearInlt L Stop — Is indicated when the gearbox oil pressure is below the permissible value at the gearbox inlet flange.,270,330,yes,M,5,0,yes
FM172,GBX BypFilterPmp FuseTrip — Is indicated when the fuse for the gearbox oil bypass pump filter has triggered. Bypass filtering is an optional package. Brake Prog.: 0,0,300,no,M,,0,yes
FM173,ALU RotBearContainer Level L Warn — Is indicated when the grease container for lubrication of the main bearing is empty.,270,300,no,M,0,0,yes
FM174,ALU RotBearPmp Fault — Is indicated when the grease pump for lubrication of the main bearing does not signal its status correctly (ON/OFF). (ALU= automatic lubrication unit) Brake Prog.: 0,270,300,no,M,,0,yes
FM179,GBX BypFilter replace Fi — Is indicated when the gearbox oil bypass filter is to be checked and replaced if necessary .,270,300,no,M,0,0,yes
FM202,ROTB Not Open — Is indicated when the permissible residual rotor brake pressure is exceeded. The brake may be dragging. Brake Prog.: 3,270,400,yes,M(A),,0,yes
FM204,ROTB Wear Warn — Is indicated when the rotor brake pads are to be replaced in the near future.,270,300,no,M,0,0,yes
FM206,ROTB Wear Alarm — Is indicated when the rotor brake pads are to be replaced immediately. Starting of the turbine will not be allowed. Brake Prog.: 1,270,400,yes,M,,0,yes
FM207,ROTB Temp H Warn — Is indicated when the temperature of the rotor brake pad exceeds the warning value.,270,300,no,M,0,0,yes
FM208,ROTB Temp H Stop — Is indicated when the temperature of the rotor brake pad exceeds the cut-out value.,270,400,yes,M,1,0,yes
FM211,OpC Gen RPM Reduction (SoftBrk)too low — Is indicated when the generator speed does not slow down quickly enough for soft-braking (BP1 or BP5). This triggers a change to fast-braking (BP2). Brake Prog.: 2,0,400,yes,A,,0,yes
FM250,Hyd OilLevel L Stop — Is indicated when the oil level in the hydraulic oil tank is too low.,270,330,yes,M,1,50,yes
FM251,"Hyd HydraulicTest cancel — The alarm is triggered if the rotor brake hydraulic test or the yaw system hydraulic brake test is canceled and this is due to a fault of the hydraulic system. Brake Prog.: 2 If another cause is present, FM1500 is triggered. Yaw Prog.: 0",270,600,yes,M(A),,,yes
FM252,Hyd OilPmp FuseTrip — Is indicated when the hydraulic oil pump fuse triggers.,270,330,yes,M,1,50,yes
FM253,ROTB AccuR Press L Stop — Is indicated when the pressure in the hydraulic accumulator for the rotor brake falls below the minimum permissible value. Brake Prog.: 3,270,400,yes,M(A),,50,yes
FM254,Hyd OilPmpRuntime long — Is indicated when the hydraulic oil pump cannot increase the oil pressure to operating pressure within the required time. Brake Prog.: 1,270,330,yes,M,,50,yes
FM255,Hyd OilPmpRuntime short — Is indicated when the hydraulic oil pump increases the oil pressure to operating pressure very quickly – this indicates a fault in the hydraulic accumulator. Brake Prog.: 1,270,330,yes,M,,50,yes
FM256,Hyd OilPmpSwitchingFrequency high — Is indicated when the hydraulic oil pump has to be switched on in quick succession – i.e. the oil pressure increases and falls rapidly. This indicates a fault in the hydraulic accumulator. Brake Prog.: 1,270,330,yes,M,,50,yes
FM257,Hyd OilPress H Stop — Is indicated when the maximum permissible hydraulic oil pressure is exceeded.,270,330,yes,M,1,50,yes
FM258,Yaw HydAccuPress L Stop — Is indicated when the pressure in the yaw system hydraulic accumulator falls below the minimum permissible value. Brake Prog.: 1,270,330,yes,M(A),,50,yes
FM260,HMI ROTB ManualControl — Is indicated when the rotor brake is set to manual control (Service).,0,600,yes,A,3,0,no
FM261,ROTB BrakePressure Fault — Is indicated when the brake pressure is not reached on time or is exceeded during an automatic brake test. Brake Prog.: 1,270,600,yes,M,,0,yes
FM262,ROTB HoldPressure Fault — Is indicated if the holding pressure does not correspond to the setpoint value after a short period when the rotor brake is closed. Brake Prog.: 1,270,600,yes,M(A),,0,yes
FM263,ROTB HoldPressure Early Warn — Is indicated when the hold pressure is reached too early during an automatic brake test (brake pressure stage II). Brake Prog.: 0,270,300,no,M(A),,0,yes
FM264,ROTB HoldPressure Early Stop — Is indicated if the holding pressure (brake pressure stage II) is reached much too early during the automatic rotor brake test. Brake Prog.: 1,270,400,yes,M(A),,0,yes
FM266,ROTB AccuR DiffPress — Is indicated when the signals of the pressure switch and the analog pressure measurement on the hydraulic accumulator do not match (plausibility monitoring of the pressure switch and the analog Brake Prog.: 5 pressure measurement). Yaw Prog.: 0,270,400,yes,M,,,yes
FM267,ROTB AccuE PressSwitch Fault — Is indicated when pressure switch E on the accumulator is incorrectly set for the rotor brake stop pressure application delay or the accumulator priming pressure is incorrectly set. Brake Prog.: 2,270,400,yes,M,,0,yes
FM268,ROTB AccuE Press L Stop — Is indicated when the pressure in the rotor brake hydraulic accumulator E unexpectedly falls. The control of an important brake valve is monitored for cable breaks by this. Brake Prog.: 3,270,400,yes,M,,0,yes
FM269,ROTB HoldPressureSwitch DiffPress — Is indicated if the pressure switch and the analog pressure measurement at the holding pressure switch do not provide matching signals (plausibility monitoring of pressure switch and analog pressure Brake Prog.: 5 measurement). Yaw Prog.: 0,270,330,yes,M,,,yes
FM270,ROTB Test Activ — The hydraulic rotor brake test is active.,0,600,no,A,0,50,yes
FM300,MCV CirBreaker Open — Is indicated when the main grid switch (660V grid) is open (turbine class K08 only).,0,600,yes,A,6,0,no
FM301,Met Labko Ice sensor CableBreak — The alarm is reported when a cable break or an invalid measured value is detected at the measuring input for the ice sensor. Brake Prog.: 0,270,300,no,M,,0,yes
FM302,Met MoistureSensor CableBreak — Is activated when a cable break is indicated at the measurement input for the moisture or frost point sensor or an invalid measurement value is detected. Brake Prog.: 0,270,300,no,M,,0,yes
FM304,AIS Operation fast idle active — Is reported if the anti-icing system (AIS) has placed the WTG into idling mode.,0,300,no,A,5,0,yes
FM305,Met RotAirTemp CableBreak — This warning is generated when a cable break is detected on the temperature sensor TR287 MET Rot Air Temp. Brake Prog.: 0,0,300,no,M,,0,yes
FM306,Gen brushWear Stop — Is indicated if the brush wear warning (FM307) has been active for a longer period of time.,270,330,yes,M,1,0,yes
FM307,Gen brushWear Warn — Is indicated when the generator slip ring brushes are worn and have to be replaced.,0,300,no,A,0,0,yes
FM310,LPR BotBox — Is indicated when the 400V or 660V power supply lightning protection module has triggered.,270,330,no,M,0,0,yes
FM311,LPR Gen — A generator lightning protection module on the stator side has triggered.,270,330,no,M,0,0,yes
FM312,Met Labko Ice sensor fault stop — The Labko ice sensor signals a fault. The WTG is stopped.,270,400,yes,M,1,0,yes
FM313,Met Labko Ice sensor fault warn — The Labko ice sensor signals a fault. The WTG is not stopped.,0,300,no,A,0,0,yes
FM314,LPR Gen Rot — A lightning protection element on the rotor-side of the generator has triggered.,270,330,no,M,0,0,yes
FM316,AIS Enable manual stopp (Service) — Reported if the heating release (ST178) of the anti-icing system (AIS) has been locked manually via the Visu. Brake Prog.: 0,0,600,no,A,,0,yes
FM330,Grid Griderror 660V multiple — The alarm is triggered if a grid fault occurs in the 660V grid several times a day. This alarm deactivates the automatic restart (ARS) function. Brake Prog.: 1,270,600,no,M,,0,no
FM332,Grid Griderror 660V Alarm — The alarm is triggered if a grid fault occurs in the 660V grid. The turbine is disconnected from the grid immediately and the automatic restart function is activated. Brake Prog.: 2,0,400,no,A,,50,no
FM340,Grid Phaseshift 660V Alarm — Is indicated when there is a phase shift between the three phases in the 660V grid. The turbine is disconnected from the grid immediately and the automatic restart function is activated. Brake Prog.: 2,0,400,no,A,,0,no
FM342,LVL InsulatMonitor 660V Stop undelayed — The insulation monitor indicates an alarm (insulation resistance is < 20kOhm).,270,400,yes,ML,2,0,no
FM343,MVL SF6 Gas Pressure NOK — Is reported if the SF6 gas pressure in the medium-voltage switchgear is NOK.,270,330,yes,ML,1,0,no
FM344,MVL Switchgear Defect — Is indicated when the MV-switchgear detects a fault that requires a quick-stop (e.g. triggering of the transformer protection or overcurrent protection). Brake Prog.: 2,270,600,yes,M(A),,0,no
FM345,MVL Switchgear Warning — Is indicated when the MV-switchgear or the MV- transformer detect a fault that requires soft braking.,0,300,yes,A,1,0,no
FM346,LVL InsulatMonitor 660V Stop deferred — Is indicated when the insulation monitor generates a warning for a longer period (ST271).,270,400,yes,ML,5,0,no
FM347,LVL InsulatMonitor 660V Warn — Is indicated when the insulation monitor detects that the insulation resistance from the 660 V grid to ground is too low. Brake Prog.: 0,0,300,no,A,,0,yes
FM348,LVL DiffCurr 400V BotBox Warn — Is indicated when the differential current monitor detects a small fault in the 400V-grid.,0,300,no,A,0,0,yes
FM349,LVL DiffCurr 400V BotBox Stop — Is indicated when the differential current monitor detects a serious fault in the 400V-grid.,270,400,yes,M,2,0,no
FM350,OBL ObstacleLight Defect — The alarm is triggered if a fault in the aircraft warning lamps is indicated.,270,600,no,M(A),0,0,yes
FM352,Gen Htr FuseTrip — Is indicated when the fuse for the generator heating triggers.,0,330,no,M,0,0,yes
FM354,Hyd OilHtr FuseTrip — Is indicated when the fuse for the hydraulic oil heating triggers.,0,330,no,M,0,0,yes
FM355,GBX OilHtr 1 FuseTrip — Is indicated when the fuse for the gearbox oil heating elements triggers.,0,330,no,M,0,0,yes
FM356,"GBX OilHtr 2 FuseTrip — Is indicated if the fuse for the gearbox oil heating elements or, for K08 Gamma CCV, the gear oil and suction hose heating fuse has triggered. Brake Prog.: 0",0,330,no,M,,0,yes
FM357,Air Fan Nacelle FuseTrip — Is indicated if the fuse for the nacelle fan has triggered.,0,330,no,M,0,0,yes
FM358,"LVL UPS Fault — Collective error message of the USV: battery, temperature, fan or electronics not ok.",0,300,no,A,0,0,no
FM359,LVL UPS BatteryLow — A report is emitted when the batteries of the 230V UPS have a low state of charge.,0,300,yes,A,5,20,yes
FM360,OBL ObstacleLight Lamp defect — Is indicated when the obstacle lighting is defective.,270,600,no,M(A),0,0,yes
FM361,OBL ObstacleLight Grid Failure — Indicates a power supply failure of the aircraft obstacle warning light system.,270,600,no,M(A),0,0,yes
FM364,Pit error powervoltage supply pitch — The states of the control and feedback of the line contactor and unvervoltage relay are implausible.,270,600,yes,M,2,0,yes
FM365,Pit PowerVolt SwitchOff manual — Pitch power supply has been switched off manually.,0,600,yes,A,2,0,yes
FM366,AIS Enable manual active (Service) — Reported if the heating release (ST178) of the anti-icing system (AIS) has been issued manually via the Visu. Brake Prog.: 0,0,300,no,A,,0,yes
FM376,ALU GenBearPmp Fault — Is indicated when the grease pump for lubrication of the generator bearing does not feedback its status (on/off) correctly. (ALU= automatic lubrication unit) Brake Prog.: 0,270,300,no,M,,0,yes
FM377,CMS DTR Communication nok — The Modbus TCP communication between drive train CMS and the operation control has failed.,0,300,no,A,0,0,yes
FM378,AIS Modbus Nok — Reported if the Modbus TCP communication between the anti-icing system (AIS) and the operation control is faulty. Brake Prog.: 0,0,400,no,A,,0,yes
FM379,ALU GenBearContainerLevel L Warn — Is indicated when the grease container for lubrication of the main bearing is empty.,270,300,no,M,0,0,yes
FM380,LPR Lightning detected — Lightning strike detected.,0,330,no,A,0,0,yes
FM381,LPR LightnStrike Sensor Error — Communication fault detected between the lightning strike sensor (Prolec WindSystem) and the control. Brake Prog.: 0,0,330,no,A,,0,yes
FM382,Air Temp Nacelle L Stop — Is indicated if the temperature in the nacelle is below the parameterable limit P10.16 for at least 5s.,0,330,no,A,5,50,yes
FM383,"GCM GridFrequency Low too long — If the grid frequency is in the monitoring range below the rated grid frequency for too long, the WTG will be stopped with this fault. The alarm starts a recovery period during which the components that Brake Prog.: 1 may have been overloaded can cool down. Yaw Prog.: 0",0,330,no,A,,,yes
FM384,"GCM GridFrequency high too long — If the grid frequency is in the monitoring range above the rated grid frequency for too long, the WTG will be stopped with this fault. The alarm starts a recovery period during which the components that Brake Prog.: 1 may have been overloaded can cool down. Yaw Prog.: 0",0,330,no,A,,,yes
FM385,Ctrl RPM-number is bad warning — The speed signal for control of the WTG is shown to have inadequate signal quality.,0,300,no,A,0,0,yes
FM386,Ctrl RPM-number is bad fault — The speed signal for control of the WTG is shown to have inadequate signal quality.,0,300,no,A,0,0,yes
FM387,"Grid Frequency notValForStartup — This function prevents the WTG from being connected to the grid when the grid voltage (measured by the main converter, MFR or CWE) is not within the parameterized frequency range. Brake Prog.: 5",0,300,no,A,,0,yes
FM388,Grid Voltage notValForStartup — This function prevents the WTG from being connected to the grid when the grid voltage (measured by the MFR) is not within the parameterized voltage range. Brake Prog.: 5,0,300,no,A,,0,yes
FM390,ROTB Release Check — Is indicated when the rotor brake is closed when the gearbox is very cold. Service/Remote Control should then check whether the brake can be opened again so that the rotor can idle. Brake Prog.: 0,270,400,no,M,,0,yes
FM391,Air Fan TowerBase FuseTrip — Is indicated when the fuse of the (optional) fan in the tower base triggers.,270,330,no,M,0,0,yes
FM400,Wind DirSlanting Stop(due YP50) — It is generated if the nacelle has too great a differential angle to the wind direction and cannot be adjusted. Brake Prog.: 1,0,600,yes,A,,0,yes
FM403,Yaw ALU ContainerLevel L Warn — Is indicated when the grease container for lubrication of the yaw gear ring is empty.,270,300,no,M,0,0,yes
FM404,Yaw Direction <>Cmd — Is generated if the nacelle direction of movement does not correspond to the specified direction of movement. Brake Prog.: 0,270,330,no,M(A),,50,yes
FM405,Yaw Master Speed Diff Set-Act — Is generated if the yaw master speed difference between target and actual value exceeds a limit value.,270,330,no,M(A),0,50,yes
FM407,Yaw ALU Pmp Fault — Is indicated when the grease pump for lubrication of the yaw gear ring does not signal its status correctly (ON/OFF). (ALU= automatic lubrication unit) Brake Prog.: 0,270,300,no,M,,0,yes
FM408,Yaw MotBrk FuseTrip — Is indicated when the motor protection switch for the yaw motor brake has triggered.,270,330,no,M(A),0,50,yes
FM411,Wind DirSlanting Stop — Is reported if the angle between the nacelle and wind direction has exceeded a parameterable limit that is dependent on the wind speed and adjustment is possible and sector avoidance is not active. Brake Prog.: 5,0,600,yes,A,,0,yes
FM412,Wind DirSlanting Stop(at Sectorav.) — Is reported if the angle between the nacelle and wind direction has exceeded a parameterable limit that is dependent on the wind strength and adjustment is possible and sector avoidance is active. Brake Prog.: 1,0,600,yes,A,,0,yes
FM413,Yaw Manual Mode Target Position activ — This alarm is triggered when the yaw manual target specification has been activated via NC2.,0,300,no,A,0,33,yes
FM415,Yaw MotBrk not closed — Is indicated when the yaw motor E-brakes have not closed within a specified time when the nacelle is braked. Brake Prog.: 5,270,330,yes,M(A),,50,yes
FM418,Yaw BrkResistorTemp Fault — Is indicated when the temperature of the yaw motor brake resistor exceeds a limit.,270,330,no,M(A),0,50,yes
FM419,Yaw HydBrk not closed — Is indicated when the hydraulic brake does not close upon completion of a yaw adjustment.,270,400,yes,M(A),5,50,yes
FM420,Yaw HydBrk not open — Is indicated when the hydraulic brake does not open at the start of a yaw adjustment.,270,400,no,M(A),0,50,yes
FM423,Yaw Sliding — Is indicated when the yaw motor speed exceeds a limit during nacelle movement.,0,330,no,A,0,50,yes
FM424,Yaw CableTwist LimitSwitch CW Reached — Is indicated if the first nacelle rotation limit switch has been reached in CW direction.,270,400,no,M,0,25,yes
FM425,Yaw CableTwist LimitSwitch CCW Reached — Is indicated if the first nacelle rotation limit switch has been reached in CCW direction.,270,400,no,M,0,25,yes
FM426,Yaw Axis Test Stop — The yaw axle test was unsuccessful and has been canceled,270,330,no,M,0,50,yes
FM430,Yaw ErectJumper Connected — Fault message if a jumper for erection has not been removed.,270,600,yes,M,1,50,yes
FM431,Yaw HydBrk Test Active — The yaw hydraulic brake test is active.,0,600,no,A,0,50,yes
FM432,Yaw MotBrkTest Active — The yaw motor brake test program is active,0,600,no,A,0,46,yes
FM433,Yaw HydBrkTest AccuPressLoss — Reservoir pressure monitoring in the yaw hydraulic brake test.,270,600,yes,M,1,50,yes
FM434,Yaw HydBrk Test AccuPress Low — Reservoir pressure monitoring in the yaw hydraulic brake test.,270,600,yes,M,1,50,yes
FM435,Yaw HydBrk AccuDiffPress — The alarm monitors the switching point of the system pressure switch.,270,600,yes,M,1,50,yes
FM436,Yaw Conv 1 Critical Error — The yaw converter 1 reports a critical fault.,0,330,no,A,0,50,yes
FM437,Yaw Conv 2 Critical Error — The yaw converter 2 reports a critical fault.,0,330,no,A,0,50,yes
FM438,Yaw Conv 3 Critical Error — The yaw converter 3 reports a critical fault.,0,330,no,A,0,50,yes
FM439,Yaw Conv 4 Critical Error — The yaw converter 4 reports a critical fault.,0,330,no,A,0,50,yes
FM440,Yaw Conv UserMacro Fault — In at least one yaw converter the correct parameter set is not active.,270,330,no,M,0,50,yes
FM441,Yaw Conv Local Mode active — Local mode is active for at least one yaw converter.,0,330,no,A,0,50,yes
FM442,Yaw MotBrk Test Stop — The yaw motor brake test was unsuccessful and has been canceled,270,330,no,M,0,50,yes
FM443,Yaw Conv 1 Cont. CmdOff <> FbOff — The error is indicated if the activation and feedback signals for the contactor of the 400V voltage of YCV 1 is not plausible. Brake Prog.: 0,0,330,no,A,,50,yes
FM444,Yaw Conv 2 Cont. CmdOff <> FbOff — The error is indicated if the activation and feedback signals for the contactor of the 400V voltage of YCV 2 is not plausible. Brake Prog.: 0,0,330,no,A,,50,yes
FM445,Yaw Conv 3 Cont. CmdOff <> FbOff — The error is indicated if the activation and feedback signals for the contactor of the 400V voltage of YCV 3 is not plausible. Brake Prog.: 0,0,330,no,A,,50,yes
FM446,Yaw Conv 4 Cont. CmdOff <> FbOff — The error is indicated if the activation and feedback signals for the contactor of the 400V voltage of YCV 4 is not plausible. Brake Prog.: 0,0,330,no,A,,50,yes
FM449,Yaw Request Axis Test — An axle test of the yaw system is being performed.,0,400,no,A,2,48,yes
FM450,Yaw N-1 activation allowed — If an axle of the yaw drive system has failed and N-1 operation can be activated.,0,400,no,A,0,50,yes
FM451,Yaw N-1 deactivation — Message for terminating the yaw system N-1 operation,0,400,no,A,0,50,yes
FM452,Yaw Multi fault (N-1 not available) — Several yaw axles report non-critical errors:,270,330,no,M(A),0,50,yes
FM453,Yaw N-1 wind speed high — The error is issued if the wind speed is too high during N-1 operation.,0,330,yes,A,1,50,yes
FM454,Yaw N-1 Time out — The maximum time period during N-1 operation has expired.,0,330,no,A,1,50,yes
FM455,Yaw 1 Axis Test Failure — The alarm is triggered if the gearbox test at axle 1 did not complete without errors.,270,330,no,M(A),0,41,yes
FM456,Yaw 2 Axis Test Failure — The alarm is triggered if the gearbox test at axle 2 did not complete without errors.,270,330,no,M(A),0,42,yes
FM457,Yaw 3 Axis Test Failure — The alarm is triggered if the gearbox test at axle 3 did not complete without errors.,270,330,no,M(A),0,43,yes
FM458,Yaw 4 Axis Test Failure — The alarm is triggered if the gearbox test at axle 4 did not complete without errors.,270,330,no,M(A),0,44,yes
FM459,Yaw Parameterset manual command — The parameter sets of the YCV converter can be manually changed via parameters.,0,400,no,A,2,50,yes
